Rasse;Land;GebJahrUnten;GebJahrOben;Code;Selektionspfad
HO;FRA;2004;2008;36;SC
HO;FRA;2001;2005;36;SB
HO;GBR;2004;2008;36;SC
HO;GBR;2001;2005;36;SB
HO;IRL;2004;2008;36;SC
HO;IRL;2001;2005;36;SB
HO;ITA;2004;2008;36;SC
HO;ITA;2001;2005;36;SB
HO;LUX;2004;2008;36;SC
HO;LUX;2001;2005;36;SB
HO;NLD;2004;2008;36;SC
HO;NLD;2001;2005;36;SB
HO;NZL;2004;2008;36;SC
HO;NZL;2001;2005;36;SB
HO;SWE;2004;2008;36;SC
HO;SWE;2001;2005;36;SB
HO;UKR;2004;2008;36;SC
HO;UKR;2001;2005;36;SB
HO;USA;2004;2008;36;SC
HO;USA;2001;2005;36;SB
HO;CHE;2004;2008;36;SC
HO;CHE;2001;2005;36;SB
HO;840;2007;2011;37;DC
HO;840;2004;2008;37;DB
HO;AUS;2007;2011;37;DC
HO;AUS;2004;2008;37;DB
HO;AUT;2007;2011;37;DC
HO;AUT;2004;2008;37;DB
HO;BEL;2007;2011;37;DC
HO;BEL;2004;2008;37;DB
HO;CAN;2007;2011;37;DC
HO;CAN;2004;2008;37;DB
HO;DEU;2007;2011;37;DC
HO;DEU;2004;2008;37;DB
HO;DNK;2007;2011;37;DC
HO;DNK;2004;2008;37;DB
HO;FRA;2007;2011;37;DC
HO;FRA;2004;2008;37;DB
HO;GBR;2007;2011;37;DC
HO;GBR;2004;2008;37;DB
HO;IRL;2007;2011;37;DC
HO;IRL;2004;2008;37;DB
HO;ITA;2007;2011;37;DC
HO;ITA;2004;2008;37;DB
HO;LUX;2007;2011;37;DC
HO;LUX;2004;2008;37;DB
HO;NLD;2007;2011;37;DC
HO;NLD;2004;2008;37;DB
HO;NZL;2007;2011;37;DC
HO;NZL;2004;2008;37;DB
HO;SWE;2007;2011;37;DC
HO;SWE;2004;2008;37;DB
HO;UKR;2007;2011;37;DC
HO;UKR;2004;2008;37;DB
HO;USA;2007;2011;37;DC
HO;USA;2004;2008;37;DB
HO;CHE;2007;2011;37;DC
HO;CHE;2004;2008;37;DB
HO;840;2009;2013;38;SC
HO;840;2006;2010;38;SB
HO;AUS;2009;2013;38;SC
